id,name,description,category,subcategory,category_confidence,category_evidence,art_class,art_class_confidence,art_class_evidence,flags,wire_extra_bytes,visual_group,visual_group_reason,visual_group_confidence,map_occurrence_sectors,map_regions,priority,priority_evidence,source,sprite_geometry
778,swamp,,terrain,ground,DEMONSTRATED,flag:Bank,water,INFERRED,name:swamp,"Bank,Unmove",,name:swamp|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
779,swamp,,terrain,ground,DEMONSTRATED,flag:Bank,water,INFERRED,name:swamp,"Bank,Unmove",,name:swamp|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
780,swamp,,terrain,ground,DEMONSTRATED,flag:Bank,water,INFERRED,name:swamp,"Bank,Unmove",,name:swamp|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
781,swamp,,terrain,ground,DEMONSTRATED,flag:Bank,water,INFERRED,name:swamp,"Bank,Unmove,Unpass",,name:swamp|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
782,swamp,,terrain,ground,DEMONSTRATED,flag:Bank,water,INFERRED,name:swamp,"Bank,Unmove,Unpass",,name:swamp|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
783,swamp,,terrain,ground,DEMONSTRATED,flag:Bank,water,INFERRED,name:swamp,"Bank,Unmove",,name:swamp|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
784,swamp,,terrain,ground,DEMONSTRATED,flag:Bank,water,INFERRED,name:swamp,"Bank,Unmove,Unpass",,name:swamp|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
785,swamp,,terrain,ground,DEMONSTRATED,flag:Bank,water,INFERRED,name:swamp,"Bank,Unmove",,name:swamp|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
786,swamp,,terrain,ground,DEMONSTRATED,flag:Bank,water,INFERRED,name:swamp,"Bank,Unmove,Unpass",,name:swamp|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
787,shallow water,,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unlay,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
788,shallow water,,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unlay,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
789,shallow water,,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unlay,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
790,shallow water,,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unlay,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
791,shallow water,,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unlay,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
792,shallow water,,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unlay,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
793,shallow water,,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unlay,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
794,shallow water,,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unlay,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
795,shallow water,,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unlay,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
796,shallow water,,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unlay,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
797,shallow water,,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unlay,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
798,shallow water,,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unlay,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
799,snow,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:snow|terrain,shared name and category,INFERRED,62,Folda;Senja;Vega,P2,"map regions: Folda,Senja,Vega",./dat/objects.srv,UNRESOLVED
800,ice,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:ice|terrain,shared name and category,INFERRED,12,Eremo;Folda;Havoc;Mists;Senja;Vega,P2,"map regions: Eremo,Folda,Havoc,Mists,Senja,Vega",./dat/objects.srv,UNRESOLVED
801,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
802,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
803,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
804,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
805,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
806,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
807,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
808,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
809,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
810,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
811,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
812,grass,,terrain,ground,DEMONSTRATED,flag:Bank,vegetation,INFERRED,name:grass,"Bank,Unmove",,name:grass|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
813,ice,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:ice|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
814,ice,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:ice|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
815,ice,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:ice|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
816,ice,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:ice|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
817,ice,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:ice|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
818,ice,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:ice|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
819,ice,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:ice|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
820,ice,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:ice|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
821,ice,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:ice|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
822,ice,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:ice|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
823,ice,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:ice|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
824,ice,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:ice|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
825,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
826,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
827,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
828,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
829,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
830,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
831,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
832,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
833,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
834,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
835,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
836,gravel,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:gravel|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
837,tar,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,CollisionEvent,Unmove,Unpass",,name:tar|terrain,shared name and category,INFERRED,9,Ankrahmun;Efreet;Marid;Oasis,P2,"map regions: Ankrahmun,Efreet,Marid,Oasis",./dat/objects.srv,UNRESOLVED
838,tar,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,CollisionEvent,Unmove,Unpass",,name:tar|terrain,shared name and category,INFERRED,9,Ankrahmun;Efreet;Marid;Oasis,P2,"map regions: Ankrahmun,Efreet,Marid,Oasis",./dat/objects.srv,UNRESOLVED
839,tar,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,CollisionEvent,Unmove,Unpass",,name:tar|terrain,shared name and category,INFERRED,8,Ankrahmun;Efreet;Oasis,P2,"map regions: Ankrahmun,Efreet,Oasis",./dat/objects.srv,UNRESOLVED
840,tar,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,CollisionEvent,Unmove,Unpass",,name:tar|terrain,shared name and category,INFERRED,8,Ankrahmun;Efreet;Oasis,P2,"map regions: Ankrahmun,Efreet,Oasis",./dat/objects.srv,UNRESOLVED
841,tar,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unlay,Unmove,Unpass",,name:tar|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
842,tar,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unlay,Unmove,Unpass",,name:tar|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
843,tar,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unlay,Unmove,Unpass",,name:tar|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
844,tar,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unlay,Unmove,Unpass",,name:tar|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
845,tar,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unlay,Unmove,Unpass",,name:tar|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
846,tar,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unlay,Unmove,Unpass",,name:tar|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
847,tar,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unlay,Unmove,Unpass",,name:tar|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
848,tar,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unlay,Unmove,Unpass",,name:tar|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
849,tar,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unlay,Unmove,Unpass",,name:tar|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
850,tar,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unlay,Unmove,Unpass",,name:tar|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
851,tar,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unlay,Unmove,Unpass",,name:tar|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
852,tar,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unlay,Unmove,Unpass",,name:tar|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
853,shallow water,You see the silvery movement of fish,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
854,shallow water,You see the silvery movement of fish,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
855,shallow water,You see the silvery movement of fish,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
856,shallow water,You see the silvery movement of fish,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
857,shallow water,You see the silvery movement of fish,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
858,shallow water,You see the silvery movement of fish,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
859,shallow water,You see the silvery movement of fish,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
860,shallow water,You see the silvery movement of fish,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
861,shallow water,You see the silvery movement of fish,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
862,shallow water,You see the silvery movement of fish,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
863,shallow water,You see the silvery movement of fish,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
864,shallow water,You see the silvery movement of fish,usable,liquid_source,DEMONSTRATED,flag:LiquidSource,water,INFERRED,name:water,"Bank,LiquidSource,Unmove,Unpass",,name:shallow water|usable,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
865,shallow water,,terrain,ground,DEMONSTRATED,flag:Bank,water,INFERRED,name:water,"Bank,Unmove",,name:shallow water|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
866,shallow water,,terrain,ground,DEMONSTRATED,flag:Bank,water,INFERRED,name:water,"Bank,Unmove",,name:shallow water|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
867,shallow water,,terrain,ground,DEMONSTRATED,flag:Bank,water,INFERRED,name:water,"Bank,Unmove",,name:shallow water|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
868,shallow water,,terrain,ground,DEMONSTRATED,flag:Bank,water,INFERRED,name:water,"Bank,Unmove",,name:shallow water|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
869,shallow water,,terrain,ground,DEMONSTRATED,flag:Bank,water,INFERRED,name:water,"Bank,Unmove",,name:shallow water|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
870,cobbled pavement,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:cobbled pavement|terrain,shared name and category,INFERRED,74,Carlin;Fibula;FibulaDungeon;Ghostlands;Greenshore;Havoc;Minocity;Mists;Northport;Orc;PortHope;Rookgaard;Sternum;Thais;Trollcaves;Venore;VenoreDragons,P0,sector within 1 rings of newbiestart,./dat/objects.srv,UNRESOLVED
871,cobbled pavement,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:cobbled pavement|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
872,cobbled pavement,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:cobbled pavement|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
873,cobbled pavement,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:cobbled pavement|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
874,cobbled pavement,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:cobbled pavement|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
875,cobbled pavement,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:cobbled pavement|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
876,cobbled pavement,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:cobbled pavement|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
877,cobbled pavement,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:cobbled pavement|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
878,cobbled pavement,,terrain,ground,DEMONSTRATED,flag:Bank,unclassified_named,UNRESOLVED,name matched no art keyword,"Bank,Unmove",,name:cobbled pavement|terrain,shared name and category,INFERRED,0,,UNPRIORITIZED,declared but absent from origmap,./dat/objects.srv,UNRESOLVED
